rank,bgg_url,game_id,name,min_players,max_players,avg_time,min_time,max_time,weight,year,age,avg_rating,geek_rating,num_votes,owned,designer
1168,https://boardgamegeek.com/boardgame/173090,173090,The Game,1,5,20,20,20,1.2436,2015,8,6.70965,6.49974,10906,18383,Steffen Benndorf
1169,https://boardgamegeek.com/boardgame/232918,232918,Fallout,1,4,180,120,180,3.0124,2017,14,6.92656,6.49986,7208,15974,"Andrew Fischer, Nathan I. Hajek"
1170,https://boardgamegeek.com/boardgame/128721,128721,Crisis,1,5,120,45,120,3.0595,2016,14,7.52618,6.49776,1934,3381,"Pantelis Bouboulis, Sotirios Tsantilas"
1171,https://boardgamegeek.com/boardgame/221318,221318,Whistle Stop,2,5,75,75,75,2.7654,2017,13,7.07761,6.49835,3460,5416,Scott Caputo
1172,https://boardgamegeek.com/boardgame/154246,154246,La Isla,2,4,60,30,60,2.2509,2014,10,6.86547,6.49774,5468,8501,Stefan Feld
1173,https://boardgamegeek.com/boardgame/27364,27364,Caylus Magna Carta,2,4,75,45,75,2.8704,2007,10,6.89523,6.49643,4958,6642,William Attia
1174,https://boardgamegeek.com/boardgame/340041,340041,Kingdomino Origins,2,4,40,20,40,1.9268,2021,8,7.58863,6.49731,1785,4208,Bruno Cathala
1175,https://boardgamegeek.com/boardgame/182694,182694,Watson & Holmes,2,7,75,45,75,2.1569,2015,12,7.29411,6.49576,2560,5348,Jesús Torres Castro
1176,https://boardgamegeek.com/boardgame/354,354,Stick 'Em,3,8,60,30,60,1.9094,1993,10,7.04729,6.49558,3506,5135,Klaus Palesch
1177,https://boardgamegeek.com/boardgame/184151,184151,Legend of the Five Rings: The Card Game,2,2,90,45,90,4.0163,2017,14,7.36056,6.49559,2699,6456,"Brad Andres, Erik Dahlman (I), Nate French, Tyler Parrott"
1178,https://boardgamegeek.com/boardgame/8989,8989,Hansa,2,4,60,60,60,2.337,2004,10,6.8819,6.49506,5130,5982,Michael Schacht
1179,https://boardgamegeek.com/boardgame/213266,213266,Circle the Wagons,2,2,15,15,15,1.6267,2017,8,7.09276,6.49443,3283,7319,"Steven Aramini, Danny Devine, Paul Kluka"
